"bin","bbl","evictions"
1000047,"1000150022",5
1000053,"1000167515",3
1000061,"1000167501",4
1000301,"1000167502",1
1000436,"1000167504",1
1000544,"1000167505",4
1000793,"1000170029",53
1000794,"1000187501",8
1000810,"1000210006",51
1000824,"1000250019",16
1000826,"1000260021",27
1000827,"1000277501",3
1000828,"1000270009",10
1000829,"1000270017",8
1000830,"1000277502",13
1000831,"1000280001",4
1000836,"1000290022",2
1000844,"1000290046",1
1000846,"1000290048",1
1000859,"1000310001",71
1000864,"1000330011",121
1000884,"1000397501",2
1001009,"1000417503",2
1001014,"1000420001",19
1001022,"1000447501",6
1001040,"1000520021",3
1001042,"1000527501",1
1001047,"1000530006",1
1001053,"1000530036",1
1001060,"1000550014",3
1001064,"1000560004",21
1001096,"1000650006",2
1001098,"1000650010",13
1001100,"1000650017",1
1001103,"1000650020",2
1001106,"1000657501",2
1001115,"1000687501",1
1001126,"1000690032",10
1001127,"1000697502",25
1001142,"1000720027",9
1001163,"1000750001",8
1001184,"1000760028",2
1001185,"1000770001",12
1001188,"1000770018",4
1001193,"1000787507",2
1001197,"1000787504",2
1001198,"1000787509",2
1001200,"1000787505",1
1001201,"1000787503",7
1001208,"1000780045",8
1001209,"1000780047",11
1001214,"1000790006",1
1001215,"1000797503",4
1001249,"1000907501",1
1001258,"1000907502",1
1001263,"1000917502",1
1001268,"1000920003",1
1001276,"1000920028",1
1001290,"1000950027",1
1001354,"1001000026",1
1001362,"1001067504",1
1001381,"1001070042",2
1001386,"1001070050",1
1001391,"1001160047",3
1001400,"1001240007",1
1001403,"1001240010",1
1001406,"1001247501",1
1001407,"1001240021",1
1001412,"1001260013",4
1001420,"1001320003",1
1001462,"1001357505",2
1001465,"1001350014",10
1001474,"1001360007",1
1001504,"1001400009",3
1001524,"1001410024",1
1001549,"1001430015",2
1001581,"1001457506",1
1001589,"1001457504",1
1001607,"1001477509",2
1001619,"1001477508",2
1001630,"1001490012",1
1001642,"1001500015",3
1001643,"1001500017",1
1001644,"1001500019",1
1001645,"1001507504",2
1001650,"1001510001",10
